"許可證字號","中文品名","英文品名","有效日期","申請商名稱","發證日期","申請商電話","劑型","用途","簽審文件","製造廠國別","成分","申請商地址","包裝量及單位"
"衛部添製字  003147","鹽酸吡哆辛 (維生素 B6)","Pyridoxine Hydrochloride (Vitamin B6)","2026/07/29","鎧盈股份有限公司","2021/07/29","02-28262022","結晶性粉末","營養添加劑;;",,,"Pyridoxine Hydrochloride (Vitamin B6);;",,"1.00000公斤"
"衛部添製字  003148","牛磺酸","Taurine","2026/08/05","鎧盈股份有限公司","2021/08/05","02-28262022","結晶性粉末","營養添加劑;;",,,"Taurine;;",,"1.00000公斤"
"衛部添製字  003149","菸鹼醯胺","Nicotinamide","2026/08/20","鎧盈股份有限公司","2021/08/20","02-28262022","結晶性粉末","營養添加劑;;",,,"Nicotinamide;;",,"1.00000公斤"
"衛部添製字  003150","菸鹼酸","Nicotinic Acid","2026/08/23","鎧盈股份有限公司","2021/08/23","02-28262022","結晶性粉末","營養添加劑;;",,,"Nicotinic Acid;;",,"1.00000公斤"
"衛部添製字  003151","β-胡蘿蔔素 10% FT-Red-BT/PF","Altratene 10% FT-Red-BT/PF","2026/08/02","立弘生化科技股份有限公司","2021/08/02","02-27030209","液劑","營養添加劑;;著色劑;;",,,"Water;;Starch Sodium Octenyl Succinate;;β-Carotene;;Fructose;;Sunflower Oil;;dl-α-TOCOPHEROL;;L-Ascorbic Acid;;Sodium L-Ascorbate;;",,"1.00000公斤;10.00000公斤;1.00000公斤;10.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤;14.00000公斤;14.00000公斤;25.00000公斤;50.00000公斤;180.00000公斤;500.00000公斤"
"衛部添製字  003152","Beta-胡蘿蔔素 10% FT-Yellow/PF","Altratene 10% FT-Yellow/PF","2026/08/02","立弘生化科技股份有限公司","2021/08/02","02-27030209","液劑","營養添加劑;;著色劑;;",,,"Water;;Medium Chain Triglycerides;;Starch Sodium Octenyl Succinate;;Fructose;;β-Carotene;;dl-α-Tocopherol;;L-Ascorbic Acid;;",,"1.00000公斤;10.00000公斤;1.00000公斤;10.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;180.00000公斤;500.00000公斤"
"衛部添製字  003153","醋磺內酯鉀","Acesulfame Potassium","2026/09/17","允誠興業有限公司","2021/09/17","02-82003996","結晶性粉末","甜味劑;;",,,"Acesulfame Potassium;;",,"1.00000公斤;5.00000公斤;5.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  003154","乳鐵蛋白","Lactoferrin (Bega Bio Lactoferrin 1203011)","2026/09/23","漢馨科技有限公司","2021/09/23","02-22267008","粉劑","營養添加劑;;",,,"Lactoferrin;;",,"100.00000公克;500.00000公克"
"衛部添製字  003155","己二烯酸鉀","Potassium Sorbate","2026/10/01","州海企業有限公司","2021/10/01","06-2645365","結晶性粉末","防腐劑;;",,,"Potassium Sorbate;;",,"1.00000公斤;10.00000公斤;20.00000公斤"
"衛部添製字  003156","乳酸鈉液","Sodium Lactate Solution","2026/08/26","久芳生物科技股份有限公司","2021/08/26","06-6231199","液劑","調味劑;;",,,"Sodium Lactate Solution;;",,"1.00000公斤;10.00000公斤"
"衛部添製字  003157","關華豆膠","Guar Gum","2027/07/01","振芳股份有限公司","2022/07/01","02-23415137","粉劑","粘稠劑（糊料）;;乳化劑;;",,,"Guar Gum;;",,"1.00000公斤;1.00000公斤;10.00000公斤;10.00000公斤;15.00000公斤;15.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  003158","關華豆膠","Guar Gum (Guar Bean Gum (Supergel Foodgrade 200))","2027/07/01","振芳股份有限公司","2022/07/01","02-23415137","粉劑","粘稠劑（糊料）;;乳化劑;;",,,"Guar Gum;;",,"1.00000公斤;1.00000公斤;10.00000公斤;10.00000公斤;15.00000公斤;15.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  003159","無磷保水劑#1","Meat Curing Agent (Phosphate Free) #1","2026/10/15","振源食品科技股份有限公司","2021/10/15","02-23690989","粉劑","品質改良用、釀造用及食品製造用劑;;",,,"Sodium Bicarbonate;;Sodium Acetate (Anhydrous);;Sodium carbonate, Anhydrous;;",,"0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.10000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;21.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤"
"衛部添製字  003160","無磷保水劑#5","Meat Curing Agent (Phosphate Free) #5","2026/10/15","振源食品科技股份有限公司","2021/10/15","02-23690989","粉劑","膨脹劑;;調味劑;;",,,"Sodium Bicarbonate;;Sodium Citrate (Sodium Citrate, Dihydrate);;Trehalose;;",,"0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.10000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;21.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤"
"衛部添製字  003161","L-色胺酸","L-Tryptophan","2026/11/09","和司特股份有限公司","2021/11/09","04-23585228","結晶性粉末","營養添加劑;;",,,"L-Tryptophan;;",,"0.10000公斤;0.50000公斤;1.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤"
"衛部添製字  003172","二氧化碳","Carbon Dioxide","2027/07/01","東聯化學股份有限公司","2022/07/01","02-27193333","液劑","品質改良用、釀造用及食品製造用劑;;",,,"Carbon Dioxide;;",,"1.00000公噸;3.00000公噸;5.00000公噸;7.00000公噸;9.00000公噸;11.00000公噸;13.00000公噸;15.00000公噸;17.00000公噸;19.00000公噸;21.00000公噸;2.00000公噸;4.00000公噸;6.00000公噸;8.00000公噸;10.00000公噸;12.00000公噸;14.00000公噸;16.00000公噸;18.00000公噸;20.00000公噸;22.00000公噸"
"衛部添製字  003173","二氧化碳","Carbon Dioxide","2027/07/01","金瑞碳酸有限公司","2022/07/01","03-4731681","液劑","品質改良用、釀造用及食品製造用劑;;",,,"Carbon Dioxide;;",,"5.50000公斤;7.50000公斤;6.00000公斤;9.00000公斤"
"衛部添製字  003174","二氧化碳","Carbon Dioxide","2027/07/01","金瑞碳酸有限公司","2022/07/01","03-4731681","液劑","品質改良用、釀造用及食品製造用劑;;",,,"Carbon Dioxide;;",,"425.00000公克;1.20000公斤;2.50000公斤;3.50000公斤;5.50000公斤;6.00000公斤;7.50000公斤;23.50000公斤;42.00000公斤;20000.00000公斤;680.00000公克;1.80000公斤;3.50000公斤;4.00000公斤;5.50000公斤;6.00000公斤;9.00000公斤;25.00000公斤;160.00000公斤"
"衛部添輸字  012777","麥芽糖醇","Maltitol (Maltitol Crystalline Powder)","2029/04/20","台灣瑪氏股份有限公司","2019/04/20","02-26228601","結晶性粉末","甜味劑;;品質改良用、釀造用及食品製造用劑;;","DHB0M012777000","CN","Maltitol;;",,"25.00000公斤;25.00000公斤"
"衛部添輸字  012779","麩醯胺酸","L-Glutamine","2029/04/24","新和食品股份有限公司","2019/04/24","02-25954321","結晶性粉末","營養添加劑;;","DHB0M012779006","CN","L-GLUTAMINE;;",,"25.00000公斤"
"衛部添輸字  012780","磷酸氫二鈉 (無水)","Sodium Phosphate, Dibasic(Anhydrous) (Disodium Phosphate(DSP),Anhydrous)","2029/04/24","昆峰興業股份有限公司","2019/04/24","02-22236007","粉劑","品質改良用、釀造用及食品製造用劑;;結著劑;;","DHB0M012780009","CN","SODIUM PHOSPHATE, DIBASIC (ANHYDROUS);;",,"25.00000公斤"
"衛部添輸字  012781","磷酸二氫鈉 (無水)","Sodium Dihydrogen Phosphate (Monosodium Phosphate (MSP), Anhydrous)","2029/04/24","昆峰興業股份有限公司","2019/04/24","02-22236007","粉劑","品質改良用、釀造用及食品製造用劑;;營養添加劑;;結著劑;;","DHB0M012781002","CN","Sodium Dihydrogen Phosphate (Sodium Dihydrogen Phosphate, Anhydrous);;",,"25.00000公斤"
"衛部添輸字  012786","海藻酸鈉","Sodium Alginate","2029/04/24","振誠貿易股份有限公司","2019/04/24","02-23690989","粉劑","粘稠劑（糊料）;;","DHB0M012786001","CN","SODIUM ALGINATE;;",,"25.00000公斤"
"衛部添輸字  012787","D-山梨醇液70%","D-Sorbitol Solution 70%(Sorbitol Solution 70%)","2029/05/10","天有貿易股份有限公司","2019/05/10","06-2539293","液劑","甜味劑;;品質改良用、釀造用及食品製造用劑;;","DHB0M012787004","CN","D-Sorbitol Solution 70%;;",,"275.00000公斤;270.00000公斤"
"衛部添輸字  012790","L-肉鹼 (L-肉酸)","L-Carnitine (L-Carnitine Base)","2029/05/02","茂世興業有限公司","2019/05/02","02-22922386","結晶性粉末","營養添加劑;;","DHB0M012790000","CN","L-Carnitine;;",,"25.00000公斤;5.00000公斤;1.00000公斤"
"衛部添輸字  012791","甘草酸一銨","Monoammonium Glycyrrhizinate (Ammonium Glycyrrhizinate)","2029/05/02","欣宏生化科技股份有限公司","2019/05/02","04-8365121","結晶性粉末","甜味劑;;","DHB0M012791003","CN","Monoammonium Glycyrrhizinate;;",,"0.50000公斤;10.00000公斤;1.00000公斤;1.00000公斤;20.00000公斤;20.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤;25.00000公斤;25.00000公斤"
"衛部添輸字  012793","鹿角菜膠 AQUAGEL","CARRAGEENAN AQUAGEL (GU-10020)","2029/05/02","大中食品工業股份有限公司","2019/05/02","02-25069131","粉劑","粘稠劑（糊料）;;","DHB0M012793009","PH","Carrageenan;;Potassium Chloride;;",,"25.00000公斤"
"衛部添輸字  012794","鹿角菜膠 AQUAGEL","CARRAGEENAN AQUAGEL (GU-10208)","2029/05/01","大中食品工業股份有限公司","2019/05/01","02-25069131","粉劑","粘稠劑（糊料）;;","DHB0M012794002","PH","Carrageenan;;Sucrose;;",,"25.00000公斤"
"衛部添輸字  012795","鹿角菜膠 AQUAGEL","CARRAGEENAN AQUAGEL (GU-9487)","2029/05/01","大中食品工業股份有限公司","2019/05/01","02-25069131","粉劑","粘稠劑（糊料）;;","DHB0M012795002","PH","Carrageenan;;Sugar;;",,"25.00000公斤"
"衛部添輸字  012796","乙醯化磷酸二澱粉","Acetylated Distarch Phosphate (Kreation® MB)","2029/07/01","詠意企業有限公司","2019/07/01","02-26192287","粉劑","粘稠劑（糊料）;;","DHB0M012796005","TH","Acetylated Distarch Phosphate;;",,"25.00000公斤"
"衛部添輸字  012802","乳酸亞鐵","Ferrous Lactate","2029/05/21","台灣荃新股份有限公司","2019/05/21","02-33225957","結晶性粉末","營養添加劑;;","DHB0M012802001","CN","Ferrous Lactate (Ferrous Lactate, Trihydrate);;",,"25.00000公斤"
"衛部添輸字  012803","脂肪酸蔗糖酯","Sucrose Fatty Acid Ester","2029/05/29","仲暘企業有限公司","2019/05/29","2733-9318","粉劑","乳化劑;;","DHB0M012803004","CN","Sucrose Fatty Acid Ester;;",,"25.00000公斤"
"衛部添輸字  012804","甜菊醣苷","Steviol Glycosides (STEVIA RA60/TSG95)","2029/05/21","恒宜貿易股份有限公司","2019/05/21","04-22968609","粉劑","甜味劑;;","DHB0M012804007","CN","Steviol Glycosides;;",,"1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤"
"衛部添輸字  012805","鹿角菜膠","Carrageenan","2029/06/06","振誠貿易股份有限公司","2019/06/06","02-23690989","粉劑","粘稠劑（糊料）;;","DHB0M012805000","CN","Carrageenan;;",,"25.00000公斤"
"衛部添輸字  012806","保磷 FPL-No.3粉劑","FPL-No.3","2029/05/31","南泰福貿易有限公司","2019/05/31","02-5165051","粉劑","品質改良用、釀造用及食品製造用劑;;結著劑;;","DHB0M012806000","US","Sodium Metaphosphate;;Sodium Polyphosphate;;Sodium Dihydrogen Phosphate;;Sodium Pyrophosphate (Anhydrous);;",,"25.00000公斤"
"衛部添輸字  012809","海藻酸鈉","Sodium Alginate (KIMICA ALGIN I-1F)","2029/06/06","信意企業股份有限公司","2019/06/06","02-27523137","粉劑","粘稠劑（糊料）;;","DHB0M012809009","CL","Sodium Alginate;;",,"25.00000公斤"
"衛部添輸字  012810","海藻酸丙二醇","Propylene Glycol Alginate (KIMILOID HV)","2029/06/06","信意企業股份有限公司","2019/06/06","02-27523137","粉劑","粘稠劑（糊料）;;","DHB0M012810002","CL","Propylene Glycol Alginate;;",,"20.00000公斤"
"衛部添輸字  012811","海藻酸鈉","Sodium Alginate(KIMICA ALGIN I-3F-80)","2029/06/06","信意企業股份有限公司","2019/06/06","02-27523137","粉劑","粘稠劑（糊料）;;","DHB0M012811002","CL","Sodium Alginate;;",,"25.00000公斤"
"衛部添輸字  012812","L-抗壞血酸 (維生素C)","L-Ascorbic Acid (Vitamin C)","2029/07/14","恒海貿易股份有限公司","2019/07/14","07-7130235","結晶性粉末","抗氧化劑;;營養添加劑;;","DHB0M012812005","CN","L-Ascorbic Acid;;",,"25.00000公斤"
"衛部添輸字  012817","茶胺酸","L-Theanine","2029/06/10","育盟股份有限公司","2019/06/10","02-23415137","結晶性粉末","調味劑;;","DHB0M012817007","CN","L-Theanine;;",,"1.00000公斤;25.00000公斤;10.00000公斤;10.00000公斤"
"衛部添輸字  012818","偏亞硫酸氫鉀","Potassium Metabisulfite","2029/07/02","汎球國際貿易有限公司","2019/07/02","(02)28209161","結晶","抗氧化劑;;漂白劑;;","DHB0M012818000","IT","Potassium Metabisulfite;;",,"1.00000公斤;25.00000公斤"
"衛部添輸字  012820","玉米糖膠","Xanthan Gum (Ziboxan F80)","2029/06/06","翔祿有限公司","2019/06/06","06-5100599","粉劑","粘稠劑（糊料）;;","DHB0M012820003","CN","Xanthan Gum;;",,"25.00000公斤"
"衛部添輸字  012823","乙烯二胺四醋酸二鈉","Disodium Ethylenediaminetetraacetate (EDTA Na2)","2029/06/24","天益原料有限公司","2019/06/24","09-58594528","結晶性粉末","品質改良用、釀造用及食品製造用劑;;抗氧化劑;;","DHB0M012823002","CN","Disodium Ethylenediaminetetraacetate (EDTA Na2);;",,"25.00000公斤;25.00000公斤"
"衛部添輸字  012827","麩醯胺轉胺酶","Transglutaminase","2029/09/17","仲暘企業有限公司","2019/09/17","2733-9318","粉劑","酵素製劑;;","DHB0M012827001","CN","Maltodextrin;;Transglutaminase;;",,"1.00000公斤;10.00000公斤;5.00000公斤;20.00000公斤;4.00000公斤;8.00000公斤;16.00000公斤"
"衛部添輸字  012828","碳酸鈣","Calcium Carbonate (OMYA Calcipur® 60-KP)","2029/06/26","漢旭股份有限公司","2019/06/26","0227773207","粉劑","品質改良用、釀造用及食品製造用劑;;營養添加劑;;","DHB0M012828001","TR","Calcium Carbonate;;",,"25.00000公斤"
"衛部添輸字  012829","碳酸鈣","Calcium Carbonate (OMYA Calcipur® 70-KP)","2029/06/26","漢旭股份有限公司","2019/06/26","0227773207","粉劑","品質改良用、釀造用及食品製造用劑;;營養添加劑;;","DHB0M012829004","TR","Calcium Carbonate;;",,"25.00000公斤"
"衛部添輸字  012830","碳酸鈣","Calcium Carbonate (OMYA Calcipur® 90-KP)","2029/06/26","漢旭股份有限公司","2019/06/26","0227773207","粉劑","品質改良用、釀造用及食品製造用劑;;營養添加劑;;","DHB0M012830007","TR","Calcium Carbonate;;",,"25.00000公斤"
"衛部添輸字  012831","碳酸鈣","Calcium Carbonate (OMYA Calcipur® 110-KP)","2029/06/26","漢旭股份有限公司","2019/06/26","0227773207","粉劑","品質改良用、釀造用及食品製造用劑;;營養添加劑;;","DHB0M012831000","TR","Calcium Carbonate;;",,"25.00000公斤"
"衛部添輸字  012832","檸檬酸","Citric Acid (CITRIC ACID ANHYDROUS)","2029/07/01","冠佳化工原料有限公司","2019/07/01","07-3012012","結晶","調味劑;;","DHB0M012832000","CN","Citric Acid (Citric Acid, Anhydrous);;",,"25.00000公斤"
"衛部添輸字  012834","羥丙基澱粉","Hydroxypropyl Starch (KREATION® M8)","2029/07/04","品元實業股份有限公司","2019/07/04","02-28083280","粉劑","粘稠劑（糊料）;;","DHB0M012834006","TH","Hydroxypropyl Starch;;",,"25.00000公斤"
"衛部添輸字  012835","磷酸二氫鈉","Sodium Dihydrogen Phosphate (MONOSODIUM PHOSPHATE ANHYDROUS)","2029/07/04","益明有限公司","2019/07/04","07-7761066","微細顆粒","品質改良用、釀造用及食品製造用劑;;結著劑;;","DHB0M012835009","CN","Sodium Dihydrogen Phosphate (Anhydrous);;",,"25.00000公斤;25.00000公斤;25.00000公斤"
"衛部添輸字  012836","磷酸二澱粉","Distarch Phosphate (KREATION® 20CL)","2029/07/04","品元實業股份有限公司","2019/07/04","02-28083280","粉劑","粘稠劑（糊料）;;","DHB0M012836002","TH","Distarch Phosphate;;",,"25.00000公斤"
